stream_id,day_date_id,time_of_day_id,user_id,user_name,category_id,language_id,viewer_count,hours_watched
316605070944,20251229,1745,183969228,s2guizinho,32399,pt,165,41.25
316000446296,20251229,1745,45687461,ShoDesu,21779,en,160,40.0
316858723317,20251229,1745,94330404,OI_IGU,32399,pt,159,39.75
315769847141,20251229,1745,31239503,ESLCS,32399,en,156,39.0
316484347484,20251229,1745,22559049,YoDaTV,21779,en,153,38.25
316188624727,20251229,1745,44334603,Geranimo,21779,en,144,36.0
316776746102,20251229,1745,265534270,dududuelista,21779,pt,135,33.75
316858713717,20251229,1745,171892066,lordsemilol,21779,pt,144,36.0
315852796774,20251229,1745,1172383098,NoAimFlame,21779,de,143,35.75
315013087189,20251229,1745,1387247759,b1ezed,32399,ru,138,34.5
316856915573,20251229,1745,426956134,Joseph_MonoVoli,21779,pt,136,34.0
315559020899,20251229,1745,253979003,Crowny_Tv,21779,fr,133,33.25
316858513653,20251229,1745,493361626,offrocket,32399,pt,133,33.25
316777962998,20251229,1745,36049927,donkgordo,32399,pt,132,33.0
316911236596,20251229,1745,187797380,Ceruttera,32399,pt,131,32.75
315058732628,20251229,1745,157827865,el1ancs,32399,ru,128,32.0
316778238070,20251229,1745,154389641,peksfps,32399,pt,126,31.5
316915554011,20251229,1745,47799624,Zwag,21779,en,125,31.25
316911384052,20251229,1745,165488314,barr4k,32399,pt,121,30.25
316768602457,20251229,1745,614713499,Sara_cocina,21779,es,120,30.0
316825041242,20251229,1745,109819035,QuinnAD,21779,en,120,30.0
316943734747,20251229,1745,428548290,kurxmy,21779,es,119,29.75
315769969509,20251229,1745,86535762,Ceresio1995,21779,it,117,29.25
316604519520,20251229,1745,108722926,Kadeem718,21779,en,117,29.25
315036391761,20251229,1745,120231136,skiben,32399,no,112,28.0
315058703572,20251229,1745,90318785,zgrywu_,21779,pl,111,27.75
316909046260,20251229,1745,149515296,Fomynha,32399,pt,110,27.5
315509394914,20251229,1745,251285847,Nairdacillo,21779,es,108,27.0
316778255990,20251229,1745,1376017573,mazinh3fps,32399,pt,108,27.0
315591767031,20251229,1745,49941379,Blaber,21779,en,107,26.75
315613124967,20251229,1745,427155711,Qiyarah,32399,en,106,26.5
315559492963,20251229,1745,179124833,JogaSimples,32399,pt,105,26.25
316778178166,20251229,1745,149826531,coloridooficial,32399,pt,105,26.25
315040441942,20251229,1745,871357725,RPetroff,21779,ru,105,26.25
315059648340,20251229,1745,219597970,pangalbin,32399,sv,104,26.0
315613125607,20251229,1745,109308197,Nayomy_cs,32399,en,103,25.75
316857862517,20251229,1745,140143164,STGuizao,21779,pt,102,25.5
316778071542,20251229,1745,526342086,frankcastlerj,21779,pt,101,25.25
316858069493,20251229,1745,59340328,el_nioz,32399,es,98,24.5
316858116085,20251229,1745,507208712,juaanch1,32399,es,97,24.25
315059602900,20251229,1745,514473492,gwizdakk,32399,pl,96,24.0
315766644581,20251229,1745,163299585,BLASTPremier,32399,en,96,24.0
315058595156,20251229,1745,884485818,eternity_league2,32399,ru,95,23.75
315540759268,20251229,1745,97247923,Zynahara,21779,pt,94,23.5
315999815896,20251229,1745,228753005,Kyokeru,21779,en,93,23.25
315509525602,20251229,1745,517660525,palela10,21779,pt,91,22.75
316778096630,20251229,1745,70088956,Hyoga,21779,pt,89,22.25
