category_id,igdb_id,genre_id
17076,308,9
17076,308,11
17076,308,13
17076,308,15
1260,324,11
1260,324,15
12453,980,5
12453,980,10
12453,980,31
17828,1036,9
17828,1036,31
33437,1082,5
33437,1082,31
14432,1090,8
34134,1122,5
65663,1369,11
65663,1369,13
65663,1369,15
19745,1519,12
19745,1519,16
19745,1519,31
7182,1576,8
7182,1576,31
14980,1800,8
14980,1800,31
3290,1819,12
3290,1819,15
3290,1819,16
3290,1819,31
30740,1871,2
30740,1871,31
5288,3126,12
7778,3846,4
7778,3846,33
3470,3943,8
3470,3943,31
458912,4843,12
458912,4843,31
313197,5597,10
313197,5597,13
313197,5597,14
313197,5597,32
460620,7323,5
460620,7323,31
459754,7706,13
459754,7706,15
459754,7706,31
459754,7706,32
67647,8948,31
67647,8948,32
488818,9196,13
488818,9196,15
488818,9196,31
488818,9196,32
21136,9280,12
21136,9280,15
21136,9280,16
21136,9280,24
21136,9280,31
21136,9280,32
490374,11156,5
490374,11156,12
490374,11156,31
431065997,11169,12
431065997,11169,31
490702,12595,4
490702,12595,12
490702,12595,25
490702,12595,31
489457606,14177,12
489457606,14177,15
489457606,14177,16
489457606,14177,24
489457606,14177,31
489457606,14177,32
489721,15108,5
489721,15108,31
492952,15734,9
492952,15734,13
492952,15734,31
492952,15734,32
941530474,26764,10
941530474,26764,33
494839,27134,5
494839,27134,31
494839,27134,32
34025,30225,11
34025,30225,12
34025,30225,15
34025,30225,31
34025,30225,32
2090279789,31551,12
497697,44076,5
497697,44076,12
497697,44076,13
497697,44076,15
497697,44076,25
497697,44076,31
498289,51443,10
498289,51443,13
498289,51443,14
498289,51443,33
498638,55036,11
498638,55036,13
498638,55036,15
498523,70985,12
498523,70985,15
498523,70985,24
506078,101461,13
506078,101461,15
506078,101461,31
506078,101461,32
506407,103292,5
506407,103292,31
508948,109029,12
508948,109029,15
508948,109029,16
509529,109826,5
509529,109826,31
509529,109826,32
509529,109826,33
518006,110248,8
518006,110248,31
518006,110248,32
2056946408,113113,10
2056946408,113113,33
511864,114283,12
511864,114283,31
1366210635,121087,13
514201,122416,7
514201,122416,32
514201,122416,33
1102949822,133236,12
1102949822,133236,31
340841975,134301,12
340841975,134301,15
340841975,134301,31
340841975,134301,35
518020,134585,8
518020,134585,31
518213,135243,8
518213,135243,9
518213,135243,31
518764,137372,32
519103,138590,13
519103,138590,32
279014883,139134,7
279014883,139134,34
836519689,139708,32
1311010677,143574,13
1311010677,143574,31
14333696,144442,15
14333696,144442,32
1735523241,145191,5
1735523241,145191,31
1447325110,185238,32
1074044196,185246,5
1074044196,185246,31
1699379515,186058,35
1299144050,191402,10
1299144050,191402,13
1299144050,191402,14
1299144050,191402,31
1299144050,191402,33
1414211237,191797,13
1414211237,191797,32
1678052513,200165,5
620146360,200903,8
620146360,200903,12
620146360,200903,31
620146360,200903,32
1470211036,203722,12
1470211036,203722,13
1470211036,203722,31
1555754930,208668,13
1555754930,208668,15
1555754930,208668,31
1331855755,215436,14
1998460476,215544,13
2133072147,243611,5
2133072147,243611,13
2133072147,243611,15
2133072147,243611,24
2133072147,243611,33
1910993272,248994,13
1910993272,248994,15
1910993272,248994,32
