category_id,game_mode_id
1074401885,1
144418804,2
144418804,3
1361476377,1
1672324422,1
1672324422,2
1672324422,3
188822497,1
251979746,1
777417331,1
347755241,2
347755241,5
365912304,1
222643030,1
296636215,1
296636215,2
296636215,3
1826300051,1
1826300051,2
1826300051,4
114524791,1
114524791,2
266795834,1
266795834,2
266795834,3
266795834,5
1834407033,1
2126813945,1
1786539857,1
889298168,5
613430080,2
20810,1
10775,1
10775,2
10229,5
10322,1
11282,1
22848,1
22848,2
19006,1
19006,2
19006,3
19006,4
16676,2
16676,3
31879,1
31879,2
31879,3
31879,4
14432,1
14432,2
14432,3
10609,1
10609,2
16282,1
16282,2
16282,3
8489,1
32541,1
1654,1
9250,1
9250,2
9250,4
14660,1
14660,2
14660,4
80607,1
80607,2
80607,3
80607,5
2083,2
2083,5
489170,1
489170,2
489170,3
460090,1
488910,1
488910,2
488910,3
490655,1
490655,5
492553,1
492553,2
1050003477,1
6369,1
492934,1
493159,1
493159,2
352,1
352,3
489111,1
489111,2
489111,3
489111,5
492535,1
494508,1
494508,2
509110,1
509110,2
509110,3
509110,4
497385,1
497385,2
492982,2
492982,5
369418,1
369418,2
369418,3
369418,6
498417,1
498417,2
504651,1
506415,1
503116,1
503116,2
502732,6
515066,1
515066,2
515066,3
1544878267,1
102007682,1
512033,1
512033,2
512033,3
19801,2
19801,3
19801,5
771448419,2
771448419,5
41272850,1
1080391310,1
517159,1
517159,2
515474,1
515474,2
515474,3
515474,6
515586,1
1174671315,1
1757732267,1
1757732267,2
1757732267,3
1538476028,1
766548668,1
766548668,2
766548668,3
41917829,1
41917829,2
41917829,3
890558948,1
890558948,2
890558948,3
213930085,1
213930085,2
1937599489,1
1937599489,2
1937599489,3
2066107586,1
2066107586,2
2066107586,3
451007760,1
451007760,2
451007760,3
451007760,6
655697363,1
655697363,2
655697363,3
2014795392,1
2014795392,2
2014795392,3
686119195,1
686119195,2
686119195,3
1223141632,1
904864974,1
904864974,2
308555745,1
745589378,1
669337588,1
669337588,2
346078625,2
185606059,1
185606059,2
185606059,4
1337444628,1
1337444628,2
1337444628,3
1535225577,1
2015434764,1
2015434764,2
2015434764,3
375403621,1
375403621,2
1506110656,1
1496435078,1
1320984402,1
1320984402,2
1320984402,3
1320984402,4
1230742965,1
801541637,1
801541637,2
801541637,3
2060198130,1
2060198130,2
2060198130,3
1354355809,2
1354355809,3
1354355809,4
1135492840,1
1135492840,2
1135492840,3
1135492840,4
1136666301,1
1136666301,2
1136666301,3
197489698,1
93798731,1
93798731,2
93798731,3
1222247252,1
1222247252,2
275186889,1
601470178,1
601470178,2
871967156,1
871967156,2
871967156,3
1799538400,1
1191549523,1
15943,1
1041,1
1041,2
1041,3
7689,1
18707,1
18707,2
27103,1
27103,2
33180,1
33180,2
17828,1
22959,1
19156,1
13050,1
19745,1
19745,2
17516,1
17516,2
17516,3
17516,4
73586,1
515349,2
515349,5
1200871695,1
1200871695,2
130942,1
130942,2
130942,3
460637,1
460637,2
460637,3
418016,1
21136,2
21136,3
21136,5
68351,1
68351,2
490382,1
490382,2
490382,3
3434,1
490713,1
24872,1
24872,2
24872,3
491117,1
491117,2
491117,3
491117,5
493125,1
494683,1
494683,2
494683,3
494925,1
494925,2
494925,3
494839,1
494839,2
494839,3
497585,1
496697,1
496697,2
496697,3
20061,2
20061,3
20061,5
511701,1
511701,2
511701,3
2090279789,1
6959,1
6959,2
6959,3
499132,1
460696,2
460696,3
504735,1
504735,3
498482,1
498482,2
498482,3
126261,2
126261,5
29329,2
503446,1
125264560,1
125264560,2
125264560,3
125264560,4
505084,1
505084,2
512818,1
512818,2
510590,1
511864,1
516086,1
516086,2
516086,3
1967084783,1
1102949822,1
516866,2
516866,3
516866,5
518873,1
518873,2
518873,3
518186,1
518186,2
518186,3
278888515,2
1913410799,1
1913410799,2
1913410799,3
1311010677,1
1311010677,2
1311010677,3
946942782,1
646490300,1
1728683467,1
1728683467,2
1728683467,3
966704637,2
966704637,3
966704637,5
2058220722,1
1447325110,2
1447325110,3
1102857083,2
1102857083,3
1102857083,5
1280007947,1
2104758320,1
2104758320,2
2104758320,3
158745736,1
1331855755,1
1331855755,2
1502478230,1
250649084,1
608663369,5
1952699919,1
340920845,1
340920845,2
1196356222,1
1787091957,1
1787091957,2
1787091957,4
1984929743,1
960705568,1
