category_id,category_name,igdb_id
498744,SCP: Secret Laboratory,70385
15734,SSX 3,4174
64423444,Heaven Burns Red,132099
27449,SpyParty,9598
1709063552,UNCURSED,331985
541051476,Five Nights at Freddy's 3,312229
496021,"Warhammer 40,000: Inquisitor - Martyr",11364
66122,Plague Inc.,2065
1451337777,Flee the Fallen,370307
498329,Phantom Brigade,69488
977505124,Cookies Must Die,132117
714083916,Ib,195732
