igdb_id,category_id,game_name,genre_id
250890,2035559105,Agatha Christie: Murder on the Orient Express,9
250890,2035559105,Agatha Christie: Murder on the Orient Express,31
266610,1394114299,Miniatures,9
266610,1394114299,Miniatures,31
266610,1394114299,Miniatures,32
275246,1213005549,Chess for Idiots,15
275246,1213005549,Chess for Idiots,32
275246,1213005549,Chess for Idiots,35
280466,147942837,Pastel Parade,7
280466,147942837,Pastel Parade,32
281803,805708966,Dogs Club,8
281803,805708966,Dogs Club,10
281803,805708966,Dogs Club,32
285968,478506798,Time Is Honey,13
288555,811790981,Troleu,13
288555,811790981,Troleu,32
295288,1284206230,Automate It,9
295288,1284206230,Automate It,13
295288,1284206230,Automate It,15
295288,1284206230,Automate It,32
303720,197393604,Cage of Roses,12
303720,197393604,Cage of Roses,13
303720,197393604,Cage of Roses,32
303720,197393604,Cage of Roses,34
304835,1597454221,Catto's Post Office,13
312931,330459566,Uno,35
314113,1413319216,A Shelter Full of Cats,2
314113,1413319216,A Shelter Full of Cats,9
314113,1413319216,A Shelter Full of Cats,31
314113,1413319216,A Shelter Full of Cats,32
315338,1329680727,The Town of Nie,31
315338,1329680727,The Town of Nie,34
326325,1863014085,Vacation Cafe Simulator,13
327543,603456890,Cursed Digicam,32
337191,1638251222,Last Laugh,31
337191,1638251222,Last Laugh,32
347450,1017735046,Lots of Cats on an Adventure,2
347450,1017735046,Lots of Cats on an Adventure,31
347450,1017735046,Lots of Cats on an Adventure,32
347599,586873356,One Last Clip,13
347599,586873356,One Last Clip,31
347599,586873356,One Last Clip,32
348687,46892477,Car Dealership Simulator 2,13
348687,46892477,Car Dealership Simulator 2,32
352488,1554864712,Patapon Replay,7
352488,1554864712,Patapon Replay,12
352488,1554864712,Patapon Replay,31
357126,2011745269,Doppelpartment,2
357126,2011745269,Doppelpartment,34
358534,1475553728,The Adventures of Elliot: The Millennium Tales,12
359627,641312858,Anomalous Coffee Machine 2,32
360988,1153896686,GameTwist,33
360988,1153896686,GameTwist,35
373349,137317752,Quarantine Zombies,13
373349,137317752,Quarantine Zombies,31
105,28548,Need for Speed: Hot Pursuit,10
819,9726,Grand Theft Auto 2,5
819,9726,Grand Theft Auto 2,10
1066,852456640,Super Mario Bros.: The Lost Levels,8
1066,852456640,Super Mario Bros.: The Lost Levels,31
1197,7009,Crash Bandicoot: The Huge Adventure,8
1340,29093,Dustforce DX,8
1340,29093,Dustforce DX,32
1456,17542,Suikoden V,12
1792,13959,Ratchet & Clank Future: Tools of Destruction,5
1792,13959,Ratchet & Clank Future: Tools of Destruction,8
1792,13959,Ratchet & Clank Future: Tools of Destruction,9
3213,13944,Yoshi's Story,8
3213,13944,Yoshi's Story,31
3342,16564,Snowboard Kids,10
3342,16564,Snowboard Kids,14
3731,13251,Pajama Sam 2: Thunder and Lightning Aren't so Frightening,2
3731,13251,Pajama Sam 2: Thunder and Lightning Aren't so Frightening,9
3731,13251,Pajama Sam 2: Thunder and Lightning Aren't so Frightening,31
5769,15929,Championship Manager: Season 01/02,13
5769,15929,Championship Manager: Season 01/02,14
5818,4737,The Dukes of Hazzard: Return of the General Lee,10
5900,16885,Land of the Dead: Road to Fiddler's Green,5
6204,11102,Tony Hawk's Project 8,14
6701,74295,Edna & Harvey: Harvey's New Eyes,2
6701,74295,Edna & Harvey: Harvey's New Eyes,9
6701,74295,Edna & Harvey: Harvey's New Eyes,31
6701,74295,Edna & Harvey: Harvey's New Eyes,32
7399,488272,Final Fantasy Type-0 HD,12
7399,488272,Final Fantasy Type-0 HD,31
7448,26599,Scott Pilgrim vs. the World: The Game,4
7448,26599,Scott Pilgrim vs. the World: The Game,12
7448,26599,Scott Pilgrim vs. the World: The Game,25
7448,26599,Scott Pilgrim vs. the World: The Game,33
9241,418072,The Escapists,9
9241,418072,The Escapists,12
9241,418072,The Escapists,13
9241,418072,The Escapists,15
9241,418072,The Escapists,24
