user_id,login_name,user_name,broadcaster_type
197345771,leafers,Leafers,normal
1345143312,donat7x,donat7x,affiliate
274383445,sebagria,Sebagria,affiliate
121995936,unmokte,UnMokte,affiliate
1029948070,egorbakinn,egorbakinn,normal
208896927,marcomarcetti,MarcoMarcetti,affiliate
656835383,hanywav,hanywav,normal
1408910141,misseudo,Misseudo,normal
107905807,daviciyou,Daviciyou,affiliate
1380385485,cdrizzle6004,cdrizzle6004,normal
861012733,dewiksi,Dewiksi,normal
441664265,aci2daleaplay,ACI2DALEAPLAY,normal
929006348,kitsunaline,kitsunaline,normal
157827865,el1ancs,el1ancs,affiliate
52150995,tjo2012,tjo2012,normal
443695857,zesl0,ZESL0,normal
177799984,nn160,まぬんちゃん,affiliate
427557726,fmks_,FmKs_,normal
159335262,byroff,Byroff,affiliate
68698993,petricitelol,PetriciteLoL,affiliate
151683962,doomsayer16,DOOMSAYER16,normal
58590117,og_dumpster_juice,og_dumpster_juice,normal
121225954,thatbasti,ThatBasti,normal
836207413,gabeywaeby,gabeywaeby,normal
179061575,biiann_,Biiann_,affiliate
72860490,herberthooverthemagician,HerbertHooverTheMagician,affiliate
59671386,gororo_o,gororo_o,affiliate
1056752373,ow_ryann,ow_ryann,affiliate
86328102,fruiitix,Fruiitix,affiliate
273449826,heejinghost,HeejinGhost,affiliate
906855341,rexionx17,RexionX17,affiliate
1110213566,ezraiscompost,ezraiscompost,affiliate
227410891,snowgengar,snowgengar,normal
108233447,halleno1,halleno1,normal
439141141,goodois,Goodois,affiliate
857850657,flowtekk98,flowtekk98,normal
547259194,karafly,KaraFly,affiliate
1092338491,budget_ow,budget_ow,normal
617120701,adrianododiniz,AdrianoDoDiniz,affiliate
598115029,rxxcci,RXXCCI,affiliate
429228768,dimagicbadger,DiMagicBadger,affiliate
49857251,crapuchia,crapuchia,affiliate
580797171,defnotnyx,defnotnyx,affiliate
75891532,michel,Michel,partner
80003921,marshytop,marshytop,affiliate
80446292,rafergie,Rafergie,affiliate
1347470194,nike_twch,nike_twch,normal
1139720906,qqsshkkaa,qqsshkkaa,normal
126813062,donilflamer,donilflamer,normal
50054036,mastermeatball,MasterMeatball,affiliate
465978310,thedaviid30,thedaviid30,affiliate
618185400,chenchen53,chenchen53,partner
679002845,yaboyykel,yaboyykel,affiliate
42894067,mzalol,Mzalol,normal
657392470,melvymilkduds,MelvyMilkduds,affiliate
112509845,dracoiwnl,dracoiwnl,affiliate
60965583,1manatsu,1manatsu,affiliate
193512148,brunyo_pjl,brunyo_pjl,affiliate
1223770868,axolotlwithaxes,AxolotlWithAxes,affiliate
690357008,nogamenofunn,NoGameNoFunn,normal
893551381,notuncc,NotUncc,affiliate
48907036,perkyluck,PerkyLuck,affiliate
414024612,gabrelzineo,gabrelzineo,normal
1180222391,yachisita,yachisita,affiliate
1242383066,gamersfamily_mm,Gamersfamily_mm,normal
128762706,n334r,n334r,affiliate
925598584,damibot66,damibot66,normal
823755662,gpg_ratd32,gpg_ratd32,normal
1045496723,mawi_is_here,mawi_is_here,normal
89785238,proscontrolls,ProsConTrolls,normal
985547704,mepadev,MepaDev,normal
183862212,ch0bee,ch0bee,affiliate
535282369,mamajoevramajoe,MamajoeVramajoe,affiliate
179176308,klumpbatsch1,klumpbatsch1,affiliate
1120617356,gni1oy,GNI1OY,affiliate
75432852,masekurr,Masekurr,affiliate
569721782,waduu15,waduu15,normal
1222804252,mdfiroja790,二路君,normal
488899361,z0eti,z0eTi,affiliate
457966406,beast_darius_na,beast_darius_na,affiliate
539722617,kairohx,Kairohx,partner
421282685,qa_moderation5,qa_moderation5,affiliate
918602422,bluevegas7,BlueVegas7,affiliate
917111620,ahriuchihaa,ahriuchihaa,affiliate
262423377,pelax420,pelax420,affiliate
226149266,tarykkkk,Tarykkkk,normal
146391978,moneycashwalker,moneycashwalker,normal
48857892,s2lunara,s2lunara,affiliate
738132856,scaryt3rryclutch,scaryt3rryclutch,normal
451707773,00suei,00Suei,affiliate
1206961019,poppyrecords,PoppyRecords,normal
211894995,theenigma_,TheEnigma_,affiliate
512901888,s_chilla,s_chilla,partner
173196047,sp_delta,Sp_delta,affiliate
434684723,la16tv,LA16tv,normal
894468925,allpakx2,allpakx2,normal
113001310,rambo01007,Rambo01007,affiliate
193430393,danyhorn,DanyHorn,affiliate
118375348,totallycereal,TotallyCereal,affiliate
252625636,rayka2k,rayka2k,affiliate
74040049,thesaxmachine2000,thesaxmachine2000,affiliate
69731165,nautikosmo,NautiKosmo,affiliate
198689635,axelinkkirito,axelinkkirito,normal
426214252,0h1soko0,0h1soko0,normal
1099203458,naswift,naswift,normal
159974499,poka,poka,partner
58098825,fooya,FooYa,partner
97141929,kokiriiii,Kokiriiii,affiliate
1332528300,nereubrbr,nereubrbr,normal
410305744,xxkill4pipixx,xxkill4pipixx,normal
57508846,invitacional,Invitacional,normal
108643313,risedivine,RiseDivine,affiliate
85312500,acrmw3,ACRmw3,normal
1412498422,ruzq433,ruzq433,normal
1399489590,pwonyo,Pwonyo,normal
107938903,marceloteo,marceloteo,affiliate
188957847,st_slickk,st_slickk,normal
448169180,saggymcnasty,saggymcnasty,normal
179323884,esports_simulator,esports_simulator,affiliate
947913818,pinkspersona,PinksPersona,normal
531629148,lxlizx,lxlizx,affiliate
191595700,undygor,UNDygor,affiliate
437601256,jmgalego,JMGALEGO,normal
1135641605,zoug_xan,zoug_xan,normal
496649225,h1pstergod,h1pstergod,affiliate
121521178,ade_ow,Ade_OW,affiliate
726959140,l_e_m_o_n_e_r,L_E_M_O_N_E_R,affiliate
773129301,w4lder00,w4lder00,normal
1329497237,mrfofocr,MrFofoCR,normal
138675386,gihartz,GiHartz,affiliate
67961810,ravenshield22,RavenShield22,normal
1158792187,kanojovt,kanojovt,affiliate
9061422,razorwraithz,RaZoRWrAiThZ,normal
1100235857,gms034,gms034,normal
112395456,onetwohd,OneTwoHD,affiliate
1321862347,stillgotdajuicetvlive,stillgotdajuicetvlive,normal
787875058,chacox_x,ちゃこここ,normal
116819189,ricosmeekodiko,ricosmeekodiko,affiliate
451216345,rojo166,rojo166,affiliate
732398630,laskhard,Laskhard,affiliate
450577456,dugzplayer,dugzplayer,normal
618202082,gildaartista,gildaartista,affiliate
775799816,themonsters_tv,themonsters_tv,affiliate
62751827,chaz88p,Chaz88p,affiliate
180995252,kiskitofdez,KiskitoFdez,affiliate
25298140,gttsgaming,gttsgaming,normal
169657584,yisneitor,Yisneitor,affiliate
104154087,daoistwither,daoistwither,normal
43533289,protezee,Protezee,partner
158090310,cesaroxx_,Cesaroxx_,partner
169935971,n0xxycs,n0xxycs,affiliate
142984412,sunvedal,sunvedal,affiliate
110150887,habbi3,habbi3,affiliate
502432724,mr_cruxi,mr_cruxi,affiliate
498992176,msbravo_,msbravo_,affiliate
871973938,1chapeu1,1chapeu1,affiliate
186319991,sedatoan,sedatoan,affiliate
75416745,imsloppysloth,ImSloppySloth,affiliate
546948295,tankxyy,tankxyy,affiliate
1110148309,johnmaicou,johnmaicou,affiliate
1043907655,clos3e,clos3e,affiliate
995050620,michiiney,MichiiNey,affiliate
31310975,avilore,Avilore,affiliate
1394738311,lofihiphop_24,lofihiphop_24,affiliate
