category_id,igdb_id,game_mode_id
1119642287,159298,2
329951934,182241,2
1541524618,185724,1
209738946,202956,1
209738946,202956,3
1441208453,204538,1
1441208453,204538,2
1441208453,204538,3
1441208453,204538,5
2009321156,207266,1
2009321156,207266,2
2009321156,207266,3
1910103699,214417,2
1910103699,214417,3
843600651,216718,1
538054672,217590,1
538054672,217590,2
538054672,217590,4
737987407,248643,1
737987407,248643,2
737987407,248643,3
744803366,248933,1
745589378,251833,1
1535225577,277143,1
1286077738,279661,1
1286077738,279661,2
1286077738,279661,3
2094865572,282566,2
2094865572,282566,3
997367275,288327,1
801541637,314178,1
801541637,314178,2
801541637,314178,3
98473926,327405,1
1088478699,330673,1
1088478699,330673,3
1088478699,330673,4
197489698,331188,1
1294658629,332780,1
1294658629,332780,2
1294658629,332780,3
1826300051,338067,1
1826300051,338067,2
1826300051,338067,4
114524791,339985,1
114524791,339985,2
1081998272,349524,1
1081998272,349524,2
1081998272,349524,3
1296761647,364702,1
1296761647,364702,2
1296761647,364702,3
1848745913,371393,1
1848745913,371393,2
1848745913,371393,6
1517377137,373580,1
1517377137,373580,2
1517377137,373580,3
732181529,376966,1
23453,16,1
21934,114,2
21934,114,3
21934,114,5
11989,230,1
11989,230,2
15229,318,5
8090,421,1
11282,425,1
26559,501,1
19006,625,1
19006,625,2
19006,625,3
19006,625,4
1468,974,1
12870,1715,1
31376,1879,1
31376,1879,2
31376,1879,3
29307,1911,1
29307,1911,2
29307,1911,3
29307,1911,5
368205,2276,1
21465,3012,1
21465,3012,2
21465,3012,3
66410,3097,1
369252,3212,1
458781,3225,1
458781,3225,2
458781,3225,3
15621,5733,1
129102,6961,1
129102,6961,2
129102,6961,3
32959,7313,2
32959,7313,3
418016,8347,1
20050,8747,5
460090,9254,1
460316,10233,1
460316,10233,2
460316,10233,3
490292,11133,1
490292,11133,2
490292,11133,3
489335,11737,1
488634,17832,1
488634,17832,2
488634,17832,3
20596,18337,2
20596,18337,3
20596,18337,5
493815,19542,1
492934,19562,1
29056,19795,1
29056,19795,2
29056,19795,3
29056,19795,5
489111,23622,1
489111,23622,2
489111,23622,3
489111,23622,5
491381,24985,1
491381,24985,2
494683,26381,1
494683,26381,2
494683,26381,3
20922,27522,5
461221,28107,1
461221,28107,2
511701,28489,1
511701,28489,2
511701,28489,3
3369,47686,1
3369,47686,2
3369,47686,4
498482,55029,1
498482,55029,2
498482,55029,3
518017,55163,1
499765,72812,1
499765,72812,2
499856,75235,1
504651,76164,1
506415,76882,1
1122982998,81085,1
1122982998,81085,2
1122982998,81085,3
504463,90099,1
504463,90099,2
504463,90099,3
504463,90099,5
506456,90558,1
506456,90558,2
506456,90558,3
508292,103380,1
508292,103380,2
508292,103380,3
508455,104967,1
508455,104967,2
508455,104967,3
509549,105322,1
509549,105322,2
510218,111469,1
510218,111469,2
510218,111469,3
510590,113112,1
771448419,117297,2
771448419,117297,5
517159,125764,1
