stream_id,day_date_id,time_of_day_id,user_id,category_id,language_id,viewer_count,hours_watched
315622699751,20251230,1215,503718414,26936,pl,17,4.25
315621972071,20251230,1215,506751100,515025,en,17,4.25
315064884052,20251230,1215,191815744,515025,en,17,4.25
315778697317,20251230,1215,1052765911,515025,en,16,4.0
316841828698,20251230,1215,824965235,26936,en,16,4.0
315331393267,20251230,1215,728624137,515025,ja,16,4.0
315017244501,20251230,1215,996772429,26936,ru,16,4.0
315622866919,20251230,1215,122601180,515025,de,16,4.0
315623407463,20251230,1215,79999462,26936,de,16,4.0
315145524076,20251230,1215,145719056,515025,ar,16,4.0
315548300772,20251230,1215,521132681,26936,es,16,4.0
315044675414,20251230,1215,91809734,515025,en,15,3.75
316782575990,20251230,1215,1317818604,26936,en,15,3.75
315778693221,20251230,1215,520238042,26936,de,15,3.75
315859951206,20251230,1215,1414262258,515025,pl,15,3.75
315286554866,20251230,1215,964347498,26936,en,15,3.75
315620891367,20251230,1215,807439194,515025,ar,15,3.75
315547724132,20251230,1215,776307207,515025,fr,15,3.75
316492911836,20251230,1215,153793249,26936,en,15,3.75
315564979427,20251230,1215,161862921,515025,en,15,3.75
315566245091,20251230,1215,53728303,515025,fr,15,3.75
315278453617,20251230,1215,158973222,515025,ja,15,3.75
315277704689,20251230,1215,416611591,515025,ja,15,3.75
315777956197,20251230,1215,910805696,26936,ru,15,3.75
315285849202,20251230,1215,782405703,515025,ja,15,3.75
316201375575,20251230,1215,596251218,26936,en,14,3.5
315144877420,20251230,1215,421200849,515025,ar,14,3.5
315779304293,20251230,1215,274025551,26936,en,14,3.5
315857983718,20251230,1215,164097567,515025,de,14,3.5
316779824601,20251230,1215,1291427056,26936,en,14,3.5
315546521188,20251230,1215,90628117,515025,fr,14,3.5
315861058022,20251230,1215,633020800,515025,en,14,3.5
315622240359,20251230,1215,412383225,26936,ru,14,3.5
316494590044,20251230,1215,536413686,26936,en,14,3.5
315547943908,20251230,1215,254571545,515025,fr,14,3.5
316958912091,20251230,1215,418106222,515025,en,14,3.5
315064724052,20251230,1215,752556802,26936,en,14,3.5
316917185524,20251230,1215,248763692,515025,es,14,3.5
315515816802,20251230,1215,538637864,515025,en,14,3.5
315860282854,20251230,1215,423611132,26936,en,14,3.5
315623677799,20251230,1215,206524138,26936,hu,13,3.25
315145173484,20251230,1215,564017390,515025,en,13,3.25
315565235171,20251230,1215,545137019,515025,en,13,3.25
315015747797,20251230,1215,193885778,515025,ru,13,3.25
315047062742,20251230,1215,190599942,26936,en,13,3.25
316778838745,20251230,1215,568764902,515025,en,13,3.25
315564985827,20251230,1215,46376285,26936,en,13,3.25
315278496369,20251230,1215,639232903,515025,zh,13,3.25
315623832423,20251230,1215,502314652,26936,en,13,3.25
316492988508,20251230,1215,792339892,26936,en,13,3.25
315859284582,20251230,1215,840543040,515025,en,13,3.25
315016008789,20251230,1215,32407631,515025,en,13,3.25
315149389417,20251230,1215,1124308541,26936,en,13,3.25
315624662631,20251230,1215,708350539,26936,nl,13,3.25
315547068644,20251230,1215,793423347,515025,en,13,3.25
316495288540,20251230,1215,246458527,515025,en,13,3.25
315858937830,20251230,1215,936688839,515025,en,13,3.25
316190081111,20251230,1215,171658571,515025,en,13,3.25
315548020068,20251230,1215,1056609158,26936,en,12,3.0
316552973918,20251230,1215,78067558,26936,en,12,3.0
315043421910,20251230,1215,656510702,26936,sv,12,3.0
315278870257,20251230,1215,1007678898,515025,ja,12,3.0
315080479187,20251230,1215,797057821,26936,en,12,3.0
315624280295,20251230,1215,81962804,515025,de,12,3.0
315859643366,20251230,1215,664770822,515025,it,12,3.0
315624486119,20251230,1215,511198982,26936,en,12,3.0
316779539161,20251230,1215,464645361,515025,en,12,3.0
316551335134,20251230,1215,106851336,515025,en,12,3.0
316959400667,20251230,1215,60190239,26936,en,12,3.0
315777991909,20251230,1215,578670142,515025,ru,12,3.0
316200576983,20251230,1215,490930614,515025,en,12,3.0
315064592212,20251230,1215,757846661,515025,en,11,2.75
316779984473,20251230,1215,108572223,26936,en,11,2.75
315566391651,20251230,1215,1015435319,515025,fr,11,2.75
315166395373,20251230,1215,1252710704,515025,ar,11,2.75
315514453090,20251230,1215,225730024,515025,en,11,2.75
316587534944,20251230,1215,114593347,26936,en,11,2.75
315333493491,20251230,1215,835705096,515025,ja,10,2.5
315597383799,20251230,1215,68179750,515025,en,10,2.5
315040094161,20251230,1215,615163758,515025,nl,10,2.5
316916555892,20251230,1215,1278028715,515025,pt,9,2.25
316839779290,20251230,1215,475509646,515025,es,8,2.0
315778839269,20251230,1215,509534255,515025,en,7,1.75
315516205154,20251230,1215,662553127,515025,en,17,4.25
315286904562,20251230,1215,695502920,515025,ja,14,3.5
316551629790,20251230,1215,586043049,515025,en,12,3.0
316615552608,20251230,1215,183085507,515025,en,12,3.0
316863068021,20251230,1215,648552673,515025,es,12,3.0
315545231588,20251230,1215,184620453,515025,en,11,2.75
315286011122,20251230,1215,130588613,515025,ja,11,2.75
316959331931,20251230,1215,148715888,515025,de,11,2.75
315516271202,20251230,1215,212985580,26936,en,11,2.75
316862654069,20251230,1215,184775973,515025,pt,11,2.75
315548217828,20251230,1215,173153353,515025,en,11,2.75
315045492950,20251230,1215,265007776,515025,en,11,2.75
315860001382,20251230,1215,53051329,515025,en,11,2.75
315597038711,20251230,1215,578520362,26936,en,11,2.75
316959892443,20251230,1215,117770698,515025,en,11,2.75
315080239827,20251230,1215,79110015,515025,en,11,2.75
315779694693,20251230,1215,508926683,26936,en,10,2.5
315514902626,20251230,1215,42892581,515025,en,10,2.5
315547556964,20251230,1215,102379527,515025,fr,10,2.5
315860002662,20251230,1215,886942505,515025,de,10,2.5
315546826212,20251230,1215,437803645,515025,en,10,2.5
316841171162,20251230,1215,847587023,26936,en,10,2.5
315148953833,20251230,1215,178771975,515025,th,10,2.5
316863511797,20251230,1215,584310089,26936,pt,10,2.5
315516196962,20251230,1215,118634965,26936,es,10,2.5
315014199125,20251230,1215,728806413,515025,ru,10,2.5
315566138723,20251230,1215,1166457084,26936,fr,10,2.5
316783517686,20251230,1215,161760708,515025,pt,10,2.5
316195384663,20251230,1215,854839210,26936,en,10,2.5
316778166489,20251230,1215,83198167,26936,en,10,2.5
315165244269,20251230,1215,464142132,515025,ar,10,2.5
316778816473,20251230,1215,512854375,515025,es,10,2.5
315547730532,20251230,1215,259660201,26936,es,10,2.5
316783268598,20251230,1215,249543397,26936,es,10,2.5
316551192926,20251230,1215,594094848,515025,en,10,2.5
316840954202,20251230,1215,668696430,515025,en,10,2.5
316960415963,20251230,1215,229005434,26936,en,10,2.5
315857771110,20251230,1215,856612718,26936,de,10,2.5
315516735586,20251230,1215,77767577,515025,fr,10,2.5
316780716121,20251230,1215,842430509,26936,en,9,2.25
316200557527,20251230,1215,48360668,26936,en,9,2.25
315149843049,20251230,1215,145720072,515025,th,9,2.25
316915828212,20251230,1215,170439646,515025,pt,9,2.25
316828653274,20251230,1215,139040682,26936,en,9,2.25
315547578724,20251230,1215,505978858,26936,fr,9,2.25
316494543836,20251230,1215,674575461,26936,en,9,2.25
315046615126,20251230,1215,52560419,26936,ru,9,2.25
315039618897,20251230,1215,507347795,515025,en,9,2.25
315861418214,20251230,1215,436002452,26936,nl,9,2.25
315064109012,20251230,1215,236467689,26936,en,9,2.25
316201386071,20251230,1215,1127087310,515025,en,9,2.25
316200793815,20251230,1215,935013137,515025,en,9,2.25
315333387251,20251230,1215,660741671,515025,ja,9,2.25
315607279847,20251230,1215,896921493,26936,de,9,2.25
316614821216,20251230,1215,51726798,26936,en,9,2.25
316959460187,20251230,1215,1222620058,26936,en,9,2.25
316008120920,20251230,1215,1319434075,515025,en,9,2.25
315548056420,20251230,1215,795238684,26936,fr,9,2.25
315516174946,20251230,1215,31624862,26936,fr,9,2.25
315625053671,20251230,1215,658644249,26936,de,9,2.25
316959126235,20251230,1215,48311827,515025,en,9,2.25
316838501594,20251230,1215,672203381,26936,es,9,2.25
315166146029,20251230,1215,159702509,515025,ar,9,2.25
315286833394,20251230,1215,921492358,515025,ja,9,2.25
315040592465,20251230,1215,93525346,26936,en,9,2.25
315566625891,20251230,1215,121658205,515025,fr,9,2.25
316200731863,20251230,1215,130336063,515025,en,9,2.25
315547202148,20251230,1215,1362158567,26936,en,9,2.25
315129495275,20251230,1215,796976339,515025,ar,8,2.0
315018502997,20251230,1215,199849131,515025,fi,8,2.0
316779332697,20251230,1215,143781617,515025,en,8,2.0
315062886100,20251230,1215,776087306,515025,ru,8,2.0
316917071732,20251230,1215,175244493,515025,pt,8,2.0
315860251110,20251230,1215,1390115420,515025,de,8,2.0
