category_id,genre_id
513949,9
513949,31
514795,9
514795,13
514795,15
514795,32
149675302,15
1820378900,5
1820378900,9
1820378900,31
516588,12
518186,4
518186,12
518186,31
518186,32
1594602597,31
1594602597,32
965771331,7
965771331,9
965771331,12
965771331,16
965771331,31
965771331,32
213930085,12
213930085,16
213930085,31
55453844,4
55453844,33
983841243,5
599619814,NA
2009321156,5
2009321156,12
2009321156,24
2009321156,31
451007760,4
1987896617,12
1987896617,31
538054672,4
376500771,12
376500771,25
376500771,31
376500771,32
2133072147,5
2133072147,13
2133072147,15
2133072147,24
2133072147,33
735904419,5
735904419,12
735904419,13
735904419,31
735904419,32
745589378,15
745589378,16
745589378,32
745589378,35
922572471,8
922572471,9
922572471,31
922572471,32
1089655891,12
1089655891,31
346078625,12
346078625,15
346078625,32
346078625,35
1982936547,9
670575021,5
670575021,13
670575021,31
1374834939,12
1374834939,31
1374834939,32
1286077738,12
1286077738,25
1286077738,31
1192189185,8
2094865572,12
2094865572,15
2094865572,31
2094865572,36
111205020,5
111205020,12
111205020,25
111205020,32
1506110656,13
2073749632,13
2073749632,32
1672324422,5
262437666,13
801541637,11
801541637,36
1846512643,5
1846512643,12
1846512643,31
1749963163,12
1749963163,31
1426873999,12
1426873999,15
1426873999,16
2115231542,13
2115231542,32
1413930024,5
1413930024,13
1413930024,24
1317379021,12
1317379021,15
1317379021,16
1317379021,31
1317379021,32
551919008,13
551919008,14
1294658629,15
1294658629,32
1826300051,10
272952894,13
272952894,14
272952894,15
1731141127,10
1731141127,33
2064978299,15
2064978299,32
726936393,12
726936393,15
726936393,16
726936393,24
2012789438,5
1081998272,8
1081998272,31
1081998272,32
1308902712,12
1308902712,31
1308902712,32
1923144012,13
1923144012,32
509673,NA
512821,NA
12924,NA
509670,NA
515214,NA
509577,NA
509664,NA
23453,5
23453,12
15229,12
15229,31
18181,12
18181,16
18181,24
18707,5
18707,10
18707,31
33180,5
33180,31
11557,9
11557,31
17828,9
17828,31
1229,8
1229,31
34134,5
19357,12
19357,31
10609,12
10609,16
10609,31
65876,5
65876,12
65876,31
29307,12
29307,25
29307,31
115977,12
115977,31
20932,12
20932,25
13263,12
13263,13
13263,15
4789,13
4789,14
21465,7
21465,32
21465,33
2083,12
2083,31
32959,36
489170,12
489170,31
489401,5
489401,31
489776,5
489776,12
490292,12
490292,31
460951,7
460951,8
460951,32
460951,33
490744,12
490744,13
490744,15
490744,31
490744,32
489111,12
489111,15
489111,16
495054,33
509110,5
509110,31
509110,32
496902,12
496902,15
496902,16
496902,31
496902,32
496902,35
1421097847,14
493887283,35
498482,11
498482,15
497497,5
497497,15
497497,36
499856,12
499856,25
499856,31
506415,31
505884,5
505884,15
505084,12
505084,13
505084,14
505084,34
504806,2
504806,9
506416,5
506416,31
